#Mean Central England Temperature 1659 to 2022
#Units: Degrees Celsius
#Notes:
#1) seasonal values are calculated from the monthly data by
#   averageing the three monthly values
#2) Seasons are Win=DJF   Spr=MAM   Sum=JJA   Aut=SON
#3) Winter: year refers to January
#4) Seasonal data exist for Spring 1659 onwards
#
# Year   Win    Spr    Sum    Aut  Annual
  1826    3.7    8.8   17.6    9.7   10.1
  1827    2.8    8.9   15.2   10.7    9.5
  1828    5.7    9.1   15.6   10.6   10.3
  1829    4.0    7.9   14.8    8.0    8.2
  1830    1.1    9.6   14.2    9.7    8.7
  1831    2.7    9.3   16.3   10.7   10.1
  1832    4.1    8.4   15.5   10.1    9.5
  1833    4.0    8.9   14.9    9.6    9.5
  1834    6.6    9.3   16.2   10.4   10.5
  1835    4.7    8.6   16.1    9.6    9.6
  1836    3.4    8.1   15.1    8.5    8.9
  1837    3.8    5.6   16.0    9.4    8.9
  1838    1.4    7.2   15.0    9.0    8.1
  1839    3.6    6.9   14.6    9.7    8.7
  1840    3.8    8.3   14.6    8.1    8.5
  1841    1.6    9.4   13.8    9.1    8.8
  1842    3.0    8.5   15.7    8.6    9.3
  1843    4.5    8.2   14.3    9.3    9.1
  1844    4.3    8.4   14.5    9.5    8.6
  1845    1.5    6.7   14.2    9.2    8.3
  1846    5.7    8.8   17.1   10.4   10.2
  1847    1.7    8.2   15.6   10.0    9.3
  1848    4.0    9.4   14.6    9.4    9.4
  1849    5.0    8.2   15.0    9.7    9.3
  1850    3.4    7.9   15.4    9.2    9.1
  1851    5.0    7.9   14.8    8.9    9.2
  1852    4.8    8.0   15.9    9.5    9.8
  1853    4.6    7.3   14.6    9.2    8.4
  1854    3.0    8.7   14.6    9.6    9.3
  1855    2.1    6.4   15.3    9.4    8.1
  1856    3.8    7.2   15.3    9.4    9.1
  1857    3.8    8.0   16.5   11.0   10.1
  1858    4.2    7.8   15.8    9.5    9.2
  1859    5.1    8.8   16.4    9.1    9.6
  1860    2.3    7.4   13.5    8.5    7.9
  1861    2.5    8.1   15.2    9.7    9.2
  1862    4.3    8.9   13.8    8.9    9.2
  1863    5.7    8.6   14.8    9.6    9.7
  1864    3.7    8.6   14.4    9.5    8.9
  1865    2.7    8.7   15.8   10.9    9.7
  1866    5.4    7.8   15.2   10.1    9.7
  1867    4.7    7.9   15.1    9.2    9.0
  1868    4.5    9.7   16.9    9.2   10.4
  1869    6.7    7.8   15.4   10.0    9.6
  1870    3.0    8.5   16.1    9.0    9.0
  1871    2.3    9.1   15.1    8.6    9.1
  1872    5.1    8.2   15.5    9.5    9.8
  1873    4.2    7.7   15.3    8.9    9.0
  1874    4.9    8.8   15.4    9.9    9.3
  1875    2.8    8.7   15.0    9.7    9.5
  1876    4.1    7.3   16.0   10.1    9.5
  1877    5.9    7.0   15.0    9.2    9.2
  1878    4.9    8.7   16.0    9.0    9.3
  1879    0.6    6.4   13.7    8.5    7.4
  1880    2.4    8.2   15.2    9.0    9.1
  1881    2.2    8.2   14.6    9.6    8.6
  1882    5.0    9.1   14.4    9.2    9.5
  1883    4.8    6.9   14.6    9.6    9.0
  1884    5.4    8.3   15.9    9.7    9.8
  1885    4.3    7.0   14.6    8.5    8.6
  1886    2.5    7.4   15.1   10.5    8.7
  1887    2.7    6.3   16.1    7.8    8.3
  1888    2.6    6.7   13.7    9.3    8.2
  1889    3.8    8.2   15.1    9.4    9.0
  1890    4.1    8.4   14.0    9.9    8.8
  1891    1.4    6.5   14.6    9.7    8.5
  1892    3.3    7.2   14.3    8.6    8.2
  1893    2.8   10.2   16.5    9.3   10.0
  1894    4.4    8.5   14.5    9.6    9.3
  1895    1.3    8.6   15.3   10.0    8.7
  1896    4.4    9.2   15.6    8.1    9.3
  1897    3.7    7.9   15.9    9.9    9.4
  1898    5.4    7.7   15.2   11.2   10.1
  1899    5.8    7.6   16.9   10.1    9.7
  1900    3.1    7.4   15.8   10.2    9.6
  1901    4.4    8.1   15.9    9.5    9.2
  1902    3.3    7.7   14.3    9.7    8.9
  1903    5.2    8.2   14.2   10.0    9.3
  1904    3.6    8.0   15.2    9.1    9.0
  1905    4.1    8.3   15.5    8.1    9.2
  1906    4.5    7.6   15.6   10.7    9.5
  1907    3.1    8.1   13.6   10.0    8.9
  1908    4.1    7.6   14.9   10.7    9.3
  1909    3.5    7.8   14.0    9.0    8.6
  1910    4.1    8.2   14.7    8.8    9.2
  1911    5.0    8.6   17.0    9.8   10.1
  1912    5.1    9.4   14.3    8.5    9.4
  1913    5.3    8.6   14.7   11.1    9.8
  1914    5.2    8.9   15.5   10.1    9.9
  1915    4.3    8.0   14.8    8.4    9.0
  1916    5.6    7.7   14.5   10.1    9.2
  1917    1.5    7.2   15.5    9.7    8.5
  1918    4.1    8.5   15.0    8.9    9.5
  1919    4.0    8.1   14.6    7.8    8.5
  1920    5.5    9.1   14.0   10.1    9.6
  1921    5.5    9.0   16.2   10.5   10.5
  1922    4.9    7.6   13.7    8.8    8.7
  1923    5.7    7.8   15.1    8.5    9.1
  1924    3.9    7.5   14.4   10.2    9.3
  1925    5.8    8.0   15.7    8.5    9.2
  1926    4.7    8.6   15.7    9.4    9.7
  1927    4.2    8.8   14.8    9.7    9.2
  1928    4.3    8.6   14.8   10.2    9.6
  1929    1.7    8.1   14.9   10.5    9.1
  1930    4.7    8.1   15.4   10.1    9.5
  1931    3.8    7.8   14.7    9.4    9.0
  1932    4.9    7.4   15.8    9.4    9.4
  1933    4.1    9.4   17.0   10.2    9.9
  1934    3.1    8.0   16.2   10.4   10.0
  1935    6.2    8.2   16.3   10.0    9.7
  1936    3.0    8.3   15.4    9.8    9.4
  1937    5.4    8.3   15.7    9.6    9.6
  1938    4.6    9.2   15.3   11.2   10.2
  1939    4.7    8.7   15.4   10.4    9.7
